epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3438,1.57703,2.53085,1.33193,0.92364,0.19545,0.47727,0.26305,1.37722,2.71811,1.21016,0.000468772,0.000468772,0.000468772
2,116.449,1.44193,1.40991,1.26389,0.7685,0.75609,0.864,0.53113,1.32143,1.37258,1.20043,0.000935749,0.000935749,0.000935749
3,174.944,1.36521,1.19555,1.22814,0.78931,0.75631,0.83008,0.49342,1.35273,1.25997,1.25323,0.00139329,0.00139329,0.00139329
4,232.934,1.33088,1.10296,1.2036,0.83193,0.83327,0.89974,0.55053,1.33911,1.04546,1.23188,0.00138656,0.00138656,0.00138656
5,290.822,1.27768,0.99295,1.18032,0.8728,0.89061,0.93831,0.5961,1.2793,0.89699,1.20229,0.00137241,0.00137241,0.00137241
6,347.872,1.27217,0.9573,1.17938,0.84751,0.82171,0.92075,0.57231,1.28038,1.01105,1.22909,0.00135826,0.00135826,0.00135826
7,404.133,1.23465,0.88801,1.15086,0.86611,0.85866,0.9185,0.61139,1.21458,0.86631,1.17083,0.00134412,0.00134412,0.00134412
8,462.52,1.20232,0.84574,1.14802,0.92902,0.86394,0.93807,0.63088,1.2043,0.83783,1.19283,0.00132997,0.00132997,0.00132997
9,521.434,1.18211,0.80899,1.13421,0.92847,0.94093,0.97029,0.67448,1.1089,0.68066,1.10369,0.00131582,0.00131582,0.00131582
10,579.219,1.16169,0.78623,1.125,0.93787,0.91722,0.96886,0.66364,1.10879,0.68202,1.12758,0.00130168,0.00130168,0.00130168
11,636.987,1.17864,0.77169,1.12363,0.92849,0.91404,0.96887,0.66901,1.11684,0.71175,1.12881,0.00128753,0.00128753,0.00128753
12,694.096,1.14275,0.74474,1.11183,0.93209,0.91211,0.96263,0.66597,1.09962,0.66682,1.11951,0.00127338,0.00127338,0.00127338
13,751.222,1.1323,0.72532,1.10867,0.92661,0.90522,0.96556,0.67807,1.08277,0.68611,1.10425,0.00125923,0.00125923,0.00125923
14,808.388,1.11586,0.69302,1.10192,0.93282,0.91576,0.96435,0.66049,1.09829,0.66526,1.11119,0.00124509,0.00124509,0.00124509
15,865.837,1.11947,0.68628,1.09938,0.95402,0.94403,0.9804,0.71172,1.00736,0.59032,1.0566,0.00123094,0.00123094,0.00123094
16,924.929,1.09221,0.67215,1.08239,0.93879,0.94102,0.97769,0.68979,1.06593,0.63399,1.08935,0.00121679,0.00121679,0.00121679
17,981.724,1.08323,0.65364,1.08361,0.95395,0.95637,0.9835,0.714,0.98825,0.57853,1.06168,0.00120265,0.00120265,0.00120265
18,1038.26,1.06329,0.6492,1.07644,0.95885,0.94872,0.97913,0.72295,1.00729,0.56156,1.05442,0.0011885,0.0011885,0.0011885
19,1095.72,1.09074,0.66669,1.08779,0.95611,0.95227,0.9799,0.7239,0.97732,0.55889,1.03705,0.00117435,0.00117435,0.00117435
20,1152.53,1.07455,0.64863,1.07119,0.95417,0.95425,0.98413,0.72549,0.95569,0.54735,1.02904,0.00116021,0.00116021,0.00116021
21,1211.58,1.05791,0.63271,1.07256,0.96352,0.96623,0.9874,0.73594,0.96562,0.52933,1.03774,0.00114606,0.00114606,0.00114606
22,1269.17,1.05425,0.62642,1.06846,0.96581,0.96264,0.98839,0.73731,0.97656,0.52843,1.0409,0.00113191,0.00113191,0.00113191
23,1326.72,1.03747,0.60441,1.05971,0.9576,0.9442,0.98039,0.7235,0.98381,0.5528,1.05638,0.00111776,0.00111776,0.00111776
24,1383.43,1.03558,0.605,1.06573,0.96172,0.95613,0.9861,0.73309,0.98493,0.52262,1.03878,0.00110362,0.00110362,0.00110362
25,1441.15,1.03013,0.60462,1.05477,0.94492,0.96055,0.98089,0.73803,0.94867,0.53778,1.03143,0.00108947,0.00108947,0.00108947
26,1498.86,1.03296,0.60642,1.05916,0.9601,0.96629,0.9874,0.75086,0.91928,0.50252,1.01265,0.00107532,0.00107532,0.00107532
27,1557.48,1.00655,0.58085,1.04533,0.96082,0.97229,0.98779,0.75173,0.90866,0.49924,1.00974,0.00106118,0.00106118,0.00106118
28,1614.6,1.0043,0.58255,1.04652,0.96186,0.95614,0.98183,0.73936,0.96399,0.51752,1.0274,0.00104703,0.00104703,0.00104703
29,1670.12,1.00463,0.57647,1.04818,0.97366,0.97079,0.9878,0.76001,0.90154,0.47829,1.00193,0.00103288,0.00103288,0.00103288
30,1728.11,0.99222,0.56623,1.04188,0.97038,0.97204,0.98994,0.76227,0.89828,0.48328,1.0093,0.00101873,0.00101873,0.00101873
31,1785.92,0.99195,0.56942,1.03574,0.97193,0.97615,0.99075,0.75653,0.91052,0.47439,0.99791,0.00100459,0.00100459,0.00100459
